"FolderPath","FolderType","ItemsInFolder","FolderSize"
"/_Moving/ALSCO/Firefly","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Five Star","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Freightliner NW","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Freightliner NW/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Freightliner NW/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Freightliner NW/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/General","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Globe Motors","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Greenbria Foods","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Greenbria Foods/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Greenbria Foods/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Greenbria Foods/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Harvest Moon","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Irwin Pharmacy","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Irwin Pharmacy/Client","User Created","18","6.614 MB (6,935,508 bytes)"
"/_Moving/ALSCO/Irwin Pharmacy/Internal","User Created","7","853.6 KB (874,062 bytes)"
"/_Moving/ALSCO/Irwin Pharmacy/Opposing","User Created","3","940.2 KB (962,775 bytes)"
"/_Moving/ALSCO/Irwin Pharmacy/Research","User Created","1","169.2 KB (173,298 bytes)"
"/_Moving/ALSCO/Murphy Bros and Shamrock","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Nexperce Ag","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Nexperce Ag/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Nexperce Ag/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Nexperce Ag/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Prochaska and Unifirst","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Prochaska and Unifirst/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Prochaska and Unifirst/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Prochaska and Unifirst/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Qwik Stop","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Qwik Stop/Client","User Created","4","1.961 MB (2,056,104 bytes)"
"/_Moving/ALSCO/Qwik Stop/Internal","User Created","6","2.108 MB (2,210,346 bytes)"
"/_Moving/ALSCO/Qwik Stop/Opposing","User Created","2","921 KB (943,060 bytes)"
"/_Moving/ALSCO/Rants and Raves","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Rants and Raves/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Rants and Raves/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Rants and Raves/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Sushi Sakai","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Sushi Sakai/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Sushi Sakai/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Sushi Sakai/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Texas Roadhouse","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Texas Roadhouse/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Texas Roadhouse/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Texas Roadhouse/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Thiefault - US Linen","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Washington Carriers","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Wendy's","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Wendy's/Client","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Wendy's/Internal","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/Wendy's/Opposing","User Created","0","0 B (0 bytes)"
"/_Moving/Four Star ","User Created","5","349.8 KB (358,246 bytes)"
"/_Moving/Four Star /General Matters","User Created","7","881 KB (902,109 bytes)"
"/_Moving/Malbco - Mulloy matters","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Astoria - Ins","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Black Dot","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Client Comm","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Court comm","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/depositions","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Docs","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Mediation-Settlement","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Opposing Comm","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Pleadings Disc","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Research","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Cingular/Tasks","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Eugene","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Flathead - MDHO ","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Flathead - MDHO /Client","User Created","19","7.413 MB (7,772,724 bytes)"
"/_Moving/Malbco - Mulloy matters/Flathead - MDHO /Internal","User Created","14","1.884 MB (1,975,050 bytes)"
"/_Moving/Malbco - Mulloy matters/Flathead - MDHO /Opposing","User Created","5","1.274 MB (1,335,953 bytes)"
"/_Moving/Malbco - Mulloy matters/Great Falls","User Created","0","0 B (0 bytes)"
"/_Moving/Malbco - Mulloy matters/Great Falls/Client","User Created","15","7.001 MB (7,341,147 bytes)"
"/_Moving/Malbco - Mulloy matters/Great Falls/Internal","User Created","10","1.447 MB (1,516,849 bytes)"
"/_Moving/Malbco - Mulloy matters/Great Falls/Opposing","User Created","6","2.144 MB (2,247,664 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick","User Created","1","74.96 KB (76,757 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/AAA  and Arbitaror Comm","User Created","123","33.61 MB (35,238,254 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/AAA - Pleadings and discovery","User Created","52","24.29 MB (25,469,697 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Arch","User Created","4","1.829 MB (1,917,798 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Client","User Created","455","173.8 MB (182,270,548 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Damages","User Created","19","3.662 MB (3,839,826 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/doc manag","User Created","27","2.748 MB (2,880,988 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Docs","User Created","32","32.25 MB (33,821,455 bytes)"
"/_Moving/Malbco - Mulloy matters/HBI v. Southridge - Kenewick/Experts","User Created","2","69.13 KB (70,794 bytes)"
